,Open,High,Low,Close,Volume
2022-02-13 13:00:00,42467.6,42575.1,42400,42511,5194405.2967821
2022-02-13 12:00:00,42473.2,42615.6,42421,42467.6,5005507.27923581
2022-02-13 11:00:00,42575.3,42649.2,42453.1,42473.2,4819752.17120179
2022-02-13 10:00:00,42314,42630,42242.5,42578.9,6263895.25162394
2022-02-13 09:00:00,42443.2,42446.6,42275.9,42314,3062127.79601702
2022-02-13 08:00:00,42413.4,42493,42336,42443.2,3407644.36768801
2022-02-13 07:00:00,42433.7,42463.9,42300,42413.3,3191012.24549726
2022-02-13 06:00:00,42281.9,42433.7,42228,42433.6,3577209.45302816
2022-02-13 05:00:00,42227.5,42320,42142.8,42280.2,3656964.23269977
2022-02-13 04:00:00,42246,42354.3,42126,42227.5,6502998.9871483
2022-02-13 03:00:00,42218.8,42328.7,42152.5,42245.9,11058120.1103604
2022-02-13 02:00:00,42233.5,42271.2,42065.3,42218.8,7162594.52172887
2022-02-13 01:00:00,42394.1,42482.9,42201.7,42233.6,4923229.58019049
2022-02-13 00:00:00,42222.4,42498,42057.9,42394,6624369.08345896
2022-02-12 23:00:00,42185.1,42255.9,42061.1,42222.4,5550701.05480748
2022-02-12 22:00:00,41881.3,42215.3,41837.9,42185.1,9821208.333324
2022-02-12 21:00:00,42623.5,42623.5,41725.3,41881.3,23177897.4481332
2022-02-12 20:00:00,42663.4,42758.7,42475,42623.5,7711807.44657199
2022-02-12 19:00:00,42831.6,42883,42611.7,42663.5,10798517.2808796
2022-02-12 18:00:00,42726.9,43033,42726.9,42831.5,17177805.4818413
2022-02-12 17:00:00,42727.4,42798.9,42567.5,42726.8,15908950.9555823
2022-02-12 16:00:00,42120.4,42800,41994.9,42727.4,26028750.6698485
2022-02-12 15:00:00,42161.5,42205.7,41825.2,42120.5,10408398.1082433
2022-02-12 14:00:00,42094.5,42216.3,41799,42161.5,13920603.3909334
2022-02-12 13:00:00,42277.9,42345.8,42084,42094.5,6464017.22351051
2022-02-12 12:00:00,42403.9,42444,42200,42275.9,6278393.8444971
2022-02-12 11:00:00,42263.2,42427,41874.2,42403.9,9448469.15131291
2022-02-12 10:00:00,42395.2,42398.3,42094,42259.1,6073788.67967867
2022-02-12 09:00:00,42281,42450,42241.3,42395.3,5233914.99806018
2022-02-12 08:00:00,42103.7,42378,42103.6,42281,8200488.28937027
2022-02-12 07:00:00,42041.1,42223.6,41934.2,42103.6,6816904.49641088
2022-02-12 06:00:00,42282.3,42314.1,41760,42041.1,15588238.4005255
2022-02-12 05:00:00,42283.7,42401.4,42192.6,42282.2,4001149.39786944
2022-02-12 04:00:00,42286.8,42420,42228.6,42283.6,4098236.36170535
2022-02-12 03:00:00,42461.3,42464.6,42165,42286.7,5320713.20633694
2022-02-12 02:00:00,42452.2,42484.7,42349.8,42461.3,6799506.51460344
2022-02-12 01:00:00,42308.1,42500,42250,42452.1,6528705.43855564
2022-02-12 00:00:00,42370.1,42403,42224.1,42308.1,8821944.33867
2022-02-11 23:00:00,42150.7,42430,41952,42370.1,16752930.4519134
2022-02-11 22:00:00,42541.3,42600,41983.2,42150.7,17360457.0948739
2022-02-11 21:00:00,42340.4,42754.9,42301.2,42541.2,15487801.3771164
2022-02-11 20:00:00,42743.7,42895.9,42235,42336,32625373.7214675
2022-02-11 19:00:00,42663.1,43165,42031,42743.7,60217126.1334819
2022-02-11 18:00:00,43415.9,43500.8,42586,42663.1,32148720.2240627
2022-02-11 17:00:00,43573.5,43710,43375.3,43415.9,13547656.2645047
2022-02-11 16:00:00,43672.6,43766.2,43432.4,43573.5,16704367.4603035
2022-02-11 15:00:00,43514.9,43806.9,43514.8,43672.7,16830544.2371938
2022-02-11 14:00:00,43780.1,43964.9,43282.5,43514.9,26721403.2210802
2022-02-11 13:00:00,43570.4,43832,43502.2,43780.2,18504390.0976671
2022-02-11 12:00:00,43360.3,43696.9,43258.8,43570.5,12109683.602955
2022-02-11 11:00:00,43447.3,43510,43334.3,43361.1,6127833.38764829
2022-02-11 10:00:00,43497.3,43562.9,43236.1,43446.2,10194422.5132028
2022-02-11 09:00:00,43005,43607.1,42881,43497.2,16754057.4425022
2022-02-11 08:00:00,43360.5,43547,43000,43003.2,11478325.8423146
2022-02-11 07:00:00,43254.8,43414.8,43173.4,43355.9,8331067.29416364
2022-02-11 06:00:00,42845.4,43278.4,42815,43254.8,8290595.11790849
2022-02-11 05:00:00,43092,43092,42839.5,42845.4,10061078.6034565
2022-02-11 04:00:00,43349.8,43373.7,42966.2,43092.1,8778274.10446269
2022-02-11 03:00:00,43128.8,43410.9,43091.6,43349.9,11321204.8533513
2022-02-11 02:00:00,43166.7,43200,42828,43127.2,13390379.8932355
2022-02-11 01:00:00,43052.4,43740.8,42949.8,43166.7,28228456.3357725
2022-02-11 00:00:00,43495.4,43558.9,42600,43052.4,33602764.1898846
2022-02-10 23:00:00,43959.2,44044.4,43331.7,43495.4,26945126.5927992
2022-02-10 22:00:00,43747.8,44080.4,43614,43963,11480211.3364207
2022-02-10 21:00:00,44100,44197,43699.7,43747.8,18318661.4370127
2022-02-10 20:00:00,44362.5,44599.9,43800,44084.4,29250143.1735684
2022-02-10 19:00:00,45209.8,45250,44341.6,44362.5,25499644.9958485
2022-02-10 18:00:00,45331,45406.1,44847.8,45203.7,25230312.116152
2022-02-10 17:00:00,45386.4,45831.9,45025,45331,30927180.7655943
2022-02-10 16:00:00,44945.1,45530.6,44743,45386.4,29174471.4771171
2022-02-10 15:00:00,44351.3,45649,44176.9,44945,64299484.434328
2022-02-10 14:00:00,43639.9,44366.1,43165.3,44355.5,43111409.4477428
2022-02-10 13:00:00,44812.8,45076.3,43620.9,43636.4,57260226.9302045
2022-02-10 12:00:00,44837.9,44990.9,44545.6,44812.8,17359146.4450312
2022-02-10 11:00:00,44633.6,45175.1,44560.9,44838,23888372.9711652
2022-02-10 10:00:00,44408,44749.9,44371.8,44633.6,12348810.3020836
2022-02-10 09:00:00,44230.7,44486,44109.2,44408,11331328.6380356
2022-02-10 08:00:00,44095.6,44285.8,44065.1,44225,11840225.444052
2022-02-10 07:00:00,43883.2,44122.7,43862.4,44095.5,5246082.07006647
